Decision,Reason,Implication,Date,Category,Author,Version
Remove scroll-follow from playback in v1,"Competing input systems (scroll, playback, click) created confusing UX and unnecessary complexity",Playback is now driven only by transport controls and text interaction,04/08/2026,UX/UI,MH,V1
Add global mute button that does not affect playback,Users who can't or don't want to listen to audio but still want the rest of the story-theater playback experience now have that option readily available in the flow of the page at all times.,Playback and volume controlled separately if needed,04/09/2026,UX/UI,MH,V1
Adopt playback-driven interaction model as primary UX,A single source of truth for progression simplifies mental model and reduces conflicting inputs,All timing highlighting and media behavior are tied to playback state rather than scroll position,04/08/2026,UX/UI,MH,V1
Establish flow-first principle across desktop and mobile,User immersion and narrative continuity are core to READiscover’s value proposition,UI elements must not interrupt story flow unless explicitly triggered,04/08/2026,Product,MH,V1
Define margin media as ambient by default with optional inspection mode,Persistent interruptions would degrade reading and listening experience,Margin media appears without pausing playback and inspection pauses playback in overlay,04/08/2026,UX/UI,MH,V1
Implement sentence-level click-to-seek for timed text,Direct manipulation improves usability and reinforces audio-text linkage,Users can click sentences to seek playback without requiring word-level sync yet,04/09/2026,UX/UI,MH,V1
Use segment-level audio clips with optional clip boundaries,Single long audio file caused misalignment and poor segment control,Each segment can define audioStartTime and audioEndTime for precise transitions,04/09/2026,Engineering,MH,V1
Introduce floating playback controls as a revealable utility layer,Persistent controls obstructed content and margin media,Controls are hidden by default and accessed via launcher reducing clutter,04/09/2026,UX/UI,MH,V1
Separate chart prototyping into standalone sandbox environment,Early integration would constrain experimentation and slow iteration,Charts can be evaluated independently before deciding placement in READiscover,04/10/2026,Product,MH,V1
Adopt publication-first strategy over immediate platform development,Limited resources and need to prove concept before scaling,Focus remains on flagship stories before building creator tools,04/08/2026,Strategy,MH,V1
Defer CMS and backend authoring tools until frontend experience is validated,Premature tooling would add complexity without validated workflow needs,Content creation remains manual for now and future CMS will be informed by usage,04/09/2026,Product,MH,V1
Prioritize manual timing alignment for demo phase,Automated alignment tools are not yet integrated and demo quality depends on precise sync,Manual cue editing is acceptable for V1 with future AI alignment possible,04/10/2026,Workflow,MH,V1
Standardize segment-based story architecture,Need for modular extensible storytelling system,All content types conform to segment model enabling timeline integration,04/08/2026,Engineering,MH,V1
Playback is the source of truth for READiscover progression,Scroll-driven playback and multiple competing inputs created confusing UX and system complexity,Text highlighting media cues and active segment state all follow playback rather than scroll,04/08/2026,UX/UI,MH,V1
Adopt flow-first storytelling on both desktop and mobile,The story experience should remain primary and continuous rather than being interrupted by UI layers,Media and controls must support the story instead of dominating it,04/08/2026,Product,MH,V1
Inspection pauses playback but ambient media does not,Users need to explore context without the system interrupting them automatically,Media can appear alongside playback but deeper inspection becomes an intentional modal/context state,04/08/2026,UX/UI,MH,V1
Use vertical two-stage mobile system instead of horizontal stage switching,Horizontal switching weakened conceptual clarity and risked breaking story flow on mobile,Mobile keeps the story as the default stage and uses a secondary companion stage for media,04/12/2026,UX/UI,MH,V1
Treat section logos as section identity resting state rather than filler,Empty media stages felt awkward but adding many more charts was not feasible before launch,Hero state leads into default team identity state and media cues temporarily override that identity,04/14/2026,Product,MH,V1
Use atmospheric hero image only in opening frame,The opening needed more depth and scene-setting without adding another interactive layer,Arena photo serves as background atmosphere only and fades into the story rather than becoming content,04/15/2026,Visual Design,MH,V1
Do not implement true line measurement before launch,Range.getClientRects based line tracking is powerful but too risky and time-intensive for deadline week,Use span-based or other launch-safe highlight refinement for MVP and defer physical line tracking until after launch,04/16/2026,Engineering,MH,V1
Enforce one dominant layer at a time across the UI,Story controls and media were all competing for visual authority especially on mobile,Story Mode Control Mode and Context Mode must each have a clear dominant surface and other layers must yield,04/16/2026,UX/UI,MH,V1
Default playback UI to mini-bar first with expanded controls only on user intent,Full playback controls were taking too much screen space and overpowering story theater,Playback controls become temporary tools rather than a permanently dominant layer,04/16/2026,UX/UI,MH,V1
Strengthen chart interaction affordance rather than adding many more charts,The issue was hierarchy and discoverability more than lack of media volume,Existing charts should invite interaction more clearly and inspect mode should feel more prominent,04/16/2026,UX/UI,MH,V1
Deploy first to Hanson Hoops GitHub Pages subsite rather than waiting for readiscovermedia.com,The playoff preview had a hard time deadline and the current Pages workflow was already in place,READiscover launches first as a subpath deployment and can migrate later to the custom domain,04/19/2026,Deployment,MH,V1
